,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,GarageQual,PavedDrive,WoodDeckSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalBath,TotalPorch
50,51,60,RL,69.0,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,794,GasA,Gd,Y,SBrkr,1470,3,1,TA,6,Typ,0,Attchd,2,TA,Y,0,7,2007,WD,Normal,177000,2.5,75
51,52,50,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,816,GasA,TA,Y,SBrkr,1176,3,1,TA,6,Typ,1,Detchd,2,TA,Y,112,9,2006,WD,Normal,114500,1.0,0
52,53,90,RM,110.0,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,816,GasA,TA,N,SBrkr,816,2,1,TA,5,Typ,0,CarPort,2,TA,Y,106,5,2010,WD,Normal,110000,2.0,0
53,54,20,RL,68.0,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,1842,GasA,Gd,Y,SBrkr,1842,0,1,Gd,5,Typ,1,Attchd,3,TA,Y,857,11,2006,WD,Normal,385000,2.5,72
54,55,80,RL,60.0,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,384,GasA,TA,Y,SBrkr,1360,3,1,TA,6,Min1,1,Detchd,2,TA,Y,0,2,2007,WD,Normal,130000,1.0,50
55,56,20,RL,100.0,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,1425,GasA,Gd,Y,SBrkr,1425,3,1,TA,7,Typ,1,Attchd,2,TA,Y,0,7,2008,WD,Normal,180500,2.0,407
56,57,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,970,GasA,Ex,Y,SBrkr,1739,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,115,8,2009,WD,Abnorml,172500,3.5,0
57,58,60,RL,89.0,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,860,GasA,Ex,Y,SBrkr,1720,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,0,8,2006,WD,Normal,196500,2.5,70
58,59,60,RL,66.0,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,1410,GasA,Ex,Y,SBrkr,2945,3,1,Gd,10,Typ,1,BuiltIn,3,TA,Y,192,10,2006,New,Partial,438780,3.5,37
59,60,20,RL,60.0,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,780,GasA,Ex,Y,SBrkr,780,2,1,TA,4,Typ,0,Detchd,1,TA,Y,196,1,2008,WD,Normal,124900,1.0,0
60,61,20,RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,1158,GasA,Ex,Y,SBrkr,1158,3,1,Gd,5,Typ,0,Detchd,2,TA,Y,0,5,2006,New,Partial,158000,2.5,50
61,62,75,RM,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,530,GasA,TA,N,SBrkr,1111,3,1,Fa,6,Typ,0,Detchd,1,TA,N,0,3,2007,WD,Normal,101000,1.0,144
62,63,120,RL,44.0,6442,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,1370,GasA,Ex,Y,SBrkr,1370,2,1,Gd,6,Typ,1,Attchd,2,TA,Y,120,10,2007,WD,Normal,202500,2.0,49
63,64,70,RM,50.0,10300,Pave,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,576,GasA,Gd,Y,SBrkr,1710,3,1,TA,9,Typ,0,Detchd,2,TA,Y,12,4,2010,WD,Normal,140000,2.0,75
64,65,60,RL,69.0,9375,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,1057,GasA,Ex,Y,SBrkr,2034,3,1,Gd,8,Typ,0,Attchd,2,TA,Y,576,2,2009,WD,Normal,219500,3.5,36
65,66,60,RL,76.0,9591,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,TA,Av,1143,GasA,Ex,Y,SBrkr,2473,4,1,Gd,9,Typ,1,BuiltIn,3,TA,Y,192,10,2007,WD,Normal,317000,2.5,151
66,67,20,RL,69.0,19900,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,TA,Gd,1947,GasA,TA,Y,SBrkr,2207,3,1,TA,7,Min1,1,Attchd,2,TA,Y,301,7,2010,WD,Normal,180000,3.0,0
67,68,20,RL,72.0,10665,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,TA,Av,1453,GasA,Ex,Y,SBrkr,1479,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,144,6,2007,WD,Normal,226000,3.0,29
